Country,Commitment in U.A,Status,Source of Financing,Sector
Multinational,1314840.0,Completion,EU-Africa Infrastructure Trust Fund,Transport
Multinational,5000000.0,Implementation,African Development Fund,Transport
"Tanzania, United Republic of",166889749.12,Implementation,African Development Bank,Transport
Cameroon,132276864.65,Implementation,African Development Bank,Transport
Multinational,40000000.0,Implementation,,Transport
Multinational,159319203.73,Implementation,,Transport
Multinational,122290000.0,Implementation,,Transport
Gabon,75451351.62,Implementation,African Development Bank,Transport
Comoros,23040000.0,Implementation,African Development Fund,Transport
Multinational,35030949.22,Implementation,,Transport
Multinational,24090000.0,Implementation,African Development Fund,Transport
Uganda,206811226.91,Implementation,African Development Bank,Transport
Multinational,2374350.24,Implementation,,Transport
Niger,29460000.0,Implementation,African Development Fund,Transport
Central African Republic,1118000.0,Implementation,African Development Fund,Transport
,,,,
Multinational,745828.95,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Mali,39460000.0,Implementation,,Transport
Kenya,145717372.8,Implementation,,Transport
Multinational,69641385.0,Implementation,,Transport
Somalia,43697197.7,Implementation,African Development Fund,Transport
Multinational,3800000.0,Implementation,African Development Fund,Transport
Ghana,58300000.0,Implementation,,Transport
"Congo, the Democratic Republic of the",50570000.0,Implementation,African Development Fund,Transport
Multinational,41345308.31,Implementation,,Transport
"Tanzania, United Republic of",104283166.58,Implementation,African Development Bank,Transport
Multinational,375087.9,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Nigeria,30130464.91,Implementation,,Transport
Nigeria,1200000.0,Implementation,Middle Income Countries Fund,Transport
Multinational,1501952.54,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,1452485.57,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,1562646.5,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Gabon,32759227.87,Implementation,African Development Bank,Transport
Multinational,1463700.23,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Benin,98168096.39,Implementation,,Transport
Côte d'Ivoire,19550158.47,Implementation,African Development Bank,Transport
,,,,
Cape Verde,14627398.34,Implementation,,Transport
Cameroon,14701067.38,Implementation,African Development Bank,Transport
Multinational,94259249.21,Implementation,African Development Fund,Transport
Multinational,188388900.64,Implementation,African Development Bank,Transport
Multinational,47250000.0,Implementation,African Development Fund,Transport
Morocco,60712522.16,Implementation,,Transport
Multinational,1107411.54,Completion,NEPAD Infrastructure Project Preparation Facility,Transport
Uganda,172849569.13,Implementation,African Development Bank,Transport
Eswatini,22612913.92,Implementation,,Transport
South Africa,70755012.35,Implementation,African Development Bank,Transport
"Congo, the Democratic Republic of the",80000000.0,Implementation,African Development Fund,Transport
Côte d'Ivoire,269686006.16,Implementation,African Development Bank,Transport
Multinational,15670000.0,Approved,African Development Fund,Transport
Multinational,25870000.0,Implementation,African Development Fund,Transport
Multinational,45781245.76,Implementation,African Development Fund,Transport
Nigeria,870000.0,Implementation,African Development Fund,Transport
Senegal,90039944.99,Implementation,,Transport
Namibia,82414073.03,Implementation,,Transport
Multinational,53554039.38,Implementation,,Transport
Multinational,33126524.84,Implementation,African Development Fund,Transport
,,,,
Guinea,70612206.03,Implementation,African Development Bank,Transport
Multinational,2000000.0,Implementation,African Development Fund,Transport
Kenya,117361421.83,Cancelled,,Transport
Multinational,2000000.0,Implementation,African Development Fund,Transport
Multinational,98558872.69,Implementation,,Transport
Tunisia,99862484.45,Implementation,,Transport
Côte d'Ivoire,36586882.87,Approved,African Development Bank,Transport
Côte d'Ivoire,58851446.89,Implementation,,Transport
Multinational,62352086.14,Implementation,,Transport
Multinational,1051856.61,Completion,NEPAD Infrastructure Project Preparation Facility,Transport
Senegal,149744613.97,Implementation,,Transport
Multinational,70490892.82,Implementation,,Transport
Senegal,92558263.78,Implementation,,Transport
Multinational,97405516.54,Implementation,,Transport
Burundi,13800000.0,Completion,,Transport
Comoros,15165000.0,Completion,African Development Fund,Transport
Multinational,42476255.17,Implementation,,Transport
Multinational,3037207.56,Implementation,,Transport
Côte d'Ivoire,193162226.34,Implementation,,Transport
Ethiopia,23470766.43,Completion,African Development Bank,Transport
,,,,
Ethiopia,95532095.04,Completion,African Development Bank,Transport
Multinational,15648830.24,Implementation,,Transport
Mozambique,53520000.0,Implementation,,Transport
Multinational,33095002.96,Implementation,,Transport
Ethiopia,132080711.28,Implementation,,Transport
Multinational,1463410.21,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Cameroon,233507824.21,Implementation,,Transport
Ghana,60000000.0,Implementation,,Transport
Multinational,2335408.71,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,1000000.0,Completion,African Development Fund,Transport
Multinational,1000000.0,Completion,African Development Fund,Transport
Multinational,1000000.0,Completion,African Development Fund,Transport
Multinational,1000000.0,Completion,African Development Fund,Transport
Multinational,11473315.43,Implementation,African Development Fund,Transport
Multinational,111266435.93,Implementation,,Transport
Multinational,82857660.47,Implementation,,Transport
Kenya,181178190.49,Implementation,,Transport
Morocco,84591280.24,Completion,African Development Bank,Transport
Sierra Leone,5460000.0,Completion,,Transport
Multinational,77083774.76,Completion,African Development Bank,Transport
,,,,
Multinational,9718922.9,Completion,African Development Bank,Transport
Multinational,64986051.09,Completion,African Development Bank,Transport
Multinational,58527988.25,Completion,African Development Bank,Transport
Senegal,91117853.02,Completion,,Transport
"Tanzania, United Republic of",257477020.13,Implementation,,Transport
Multinational,81476160.59,Implementation,,Transport
Multinational,83041283.9,Implementation,,Transport
Tunisia,118986593.6,Implementation,Middle Income Countries Fund,Transport
Multinational,99992633.1,Implementation,,Transport
Multinational,50465176.8,Implementation,,Transport
Ghana,159529615.54,Implementation,African Development Bank,Transport
"Tanzania, United Republic of",73918948.65,Implementation,,Transport
Morocco,91967698.04,Implementation,African Development Bank,Transport
Zambia,145379493.21,Implementation,,Transport
Multinational,2000000.0,Implementation,African Development Fund,Transport
Multinational,3042000.0,Implementation,African Development Fund,Transport
Multinational,2957000.0,Implementation,African Development Fund,Transport
Benin,11530000.0,Implementation,African Development Fund,Transport
Multinational,9774000.0,Implementation,African Development Fund,Transport
Multinational,24805000.0,Implementation,African Development Fund,Transport
,,,,
Multinational,31177000.0,Implementation,African Development Fund,Transport
Mauritius,1180000.0,Completion,,Transport
Egypt,1200000.0,Cancelled,Middle Income Countries Fund,Transport
Kenya,80000000.0,Implementation,,Transport
Multinational,65460000.0,Implementation,African Development Fund,Transport
Multinational,52081000.0,Implementation,African Development Fund,Transport
Multinational,23399000.0,Implementation,African Development Fund,Transport
South Africa,144224627.8,Completion,African Development Bank,Transport
"Congo, the Democratic Republic of the",74000000.0,Implementation,African Development Fund,Transport
Cameroon,138561854.23,Implementation,,Transport
Rwanda,55925202.76,Implementation,,Transport
Multinational,1249533.08,Implementation,NEPAD Infrastructure Project Preparation Facility,Transport
Madagascar,57333.0,Completion,Transition Support Facility,Transport
"Congo, the Democratic Republic of the",55560000.0,Completion,African Development Fund,Transport
Gambia,1000000.0,Completion,African Development Fund,Transport
Burundi,19420000.0,Completion,,Transport
Benin,23800000.0,Implementation,African Development Fund,Transport
Tunisia,800000.0,Completion,Middle Income Countries Fund,Transport
Multinational,1937720.1,Completion,NEPAD Infrastructure Project Preparation Facility,Transport
Chad,12846000.0,Completion,,Transport
,,,,
Senegal,21331180.42,Completion,,Transport
Eswatini,35806250.24,Implementation,,Transport
Uganda,70000000.0,Implementation,,Transport
Multinational,348625.09,Completion,Fund for African Private Sector Assistance,Transport
Burundi,8940000.0,Completion,,Transport
Multinational,33256744.74,Completion,,Transport
Zimbabwe,880000.0,Completion,African Development Fund,Transport
Multinational,79070000.0,Implementation,,Transport
Multinational,41300000.0,Implementation,,Transport
"Congo, the Democratic Republic of the",13920000.0,Completion,African Development Fund,Transport
Multinational,42970000.0,Completion,African Development Fund,Transport
Multinational,5000000.0,Completion,African Development Fund,Transport
South Sudan,455000.0,Completion,Transition Support Facility,Transport
Burkina Faso,46438000.0,Implementation,,Transport
Kenya,77598502.0,Completion,,Transport
Ethiopia,85710000.0,Completion,,Transport
Madagascar,29179943.92,Completion,,Transport
Multinational,831199.3,Completion,,Transport
Multinational,1066562.75,Completion,,Transport
Kenya,649350.65,Completion,Special Relief Funds,Transport
,,,,
Tunisia,1000000.0,Cancelled,,Transport
Multinational,2627425.42,Completion,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,3235571.15,Completion,NEPAD Infrastructure Project Preparation Facility,Transport
Angola,2811404.4,Completion,African Development Fund,Transport
Liberia,42040000.0,Implementation,,Transport
Namibia,118652093.12,Completion,,Transport
Namibia,1000000.0,Completion,Middle Income Countries Fund,Transport
Cape Verde,22589424.59,Completion,,Transport
Multinational,67849342.7,Completion,,Transport
Multinational,59862219.3,Completion,,Transport
Malawi,21697828.78,Completion,African Development Fund,Transport
Uganda,72940000.0,Implementation,,Transport
Multinational,1427154.47,Completion,,Transport
Mozambique,38830000.0,Implementation,,Transport
Cameroon,39626926.06,Completion,,Transport
Multinational,1366406.31,Cancelled,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,777944.19,Completion,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,4200000.0,Completion,African Development Fund,Transport
Multinational,876949.47,Completion,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,27500000.0,Completion,,Transport
,,,,
Multinational,70483413.14,Completion,,Transport
Multinational,107083413.14,Implementation,,Transport
Multinational,44412097.55,Completion,,Transport
"Congo, the Democratic Republic of the",52850305.99,Completion,African Development Fund,Transport
Sierra Leone,21999371.82,Completion,,Transport
"Tanzania, United Republic of",131488486.26,Completion,,Transport
Côte d'Ivoire,45337581.18,Completion,,Transport
Côte d'Ivoire,2042233.39,Completion,African Development Bank,Transport
Multinational,79484549.08,Implementation,,Transport
Rwanda,113551.19,Completion,Global Affairs Canada,Transport
Multinational,52923852.17,Completion,,Transport
Multinational,99324411.66,Completion,,Transport
Multinational,91762580.59,Completion,,Transport
Ethiopia,35330928.05,Completion,,Transport
Multinational,73326480.44,Completion,,Transport
Madagascar,651856.49,Completion,,Transport
Togo,34562961.52,Completion,African Development Bank,Transport
Burundi,42000000.0,Completion,,Transport
Tunisia,111537930.53,Completion,,Transport
Multinational,325429.0,Completion,Middle Income Countries Fund,Transport
,,,,
Ethiopia,4145962.12,Completion,African Development Bank,Transport
Ethiopia,11612647.3,Completion,African Development Bank,Transport
Ethiopia,11710020.71,Completion,African Development Bank,Transport
Morocco,245068006.37,Completion,African Development Bank,Transport
Senegal,54759799.58,Completion,African Development Bank,Transport
Multinational,16000000.0,Completion,African Development Fund,Transport
Ghana,109720000.0,Completion,African Development Fund,Transport
Kenya,31005279.57,Completion,,Transport
Mozambique,32308862.95,Completion,African Development Fund,Transport
Burundi,24100000.0,Completion,,Transport
"Congo, the Democratic Republic of the",88600000.0,Completion,,Transport
Mali,11392995.09,Completion,African Development Fund,Transport
Multinational,53778430.35,Completion,,Transport
Tunisia,189018318.99,Completion,,Transport
Multinational,5750000.0,Completion,African Development Fund,Transport
Namibia,594000.0,Cancelled,,Transport
Senegal,7461427.7,Completion,African Development Bank,Transport
Senegal,1197126.9,Completion,African Development Bank,Transport
South Africa,128279357.61,Completion,African Development Bank,Transport
Benin,31825751.04,Completion,,Transport
,,,,
Morocco,103460.05,Completion,,Transport
Togo,24239744.49,Completion,,Transport
"Tanzania, United Republic of",186096869.36,Completion,,Transport
Multinational,395307.18,Cancelled,NEPAD Infrastructure Project Preparation Facility,Transport
Multinational,8053350.62,Completion,,Transport
Eswatini,354000.0,Completion,,Transport
Cameroon,2678447.03,Completion,,Transport
Ghana,52119665.89,Completion,,Transport
Uganda,71029426.62,Completion,,Transport
Multinational,118351771.47,Completion,,Transport
Senegal,16660696.58,Completion,African Development Bank,Transport
Senegal,43587489.92,Completion,,Transport
Multinational,112123139.13,Completion,,Transport
Multinational,84995198.23,Completion,,Transport
Multinational,142584761.23,Implementation,,Transport
Multinational,8925658.33,Completion,,Transport
Sierra Leone,26260000.0,Completion,,Transport
Chad,31610000.0,Completion,,Transport
Malawi,20158449.78,Completion,,Transport
Mali,6505697.23,Completion,,Transport
,,,,
Guinea,5170000.0,Completion,,Transport
Morocco,79106237.85,Completion,,Transport
Burkina Faso,245843.75,Cancelled,,Transport
Rwanda,16000000.0,Completion,,Transport
Tunisia,56109053.7,Completion,African Development Bank,Transport
Ghana,24249322.94,Completion,,Transport
Ghana,10527843.38,Completion,,Transport
Ghana,4275660.54,Completion,,Transport
Multinational,100000000.0,Completion,,Transport
Multinational,10000000.0,Completion,,Transport
Burkina Faso,17105758.0,Completion,,Transport
Multinational,225172075.59,Implementation,European Union's Africa Investment Platform,Transport
Djibouti,56361580.54,Completion,African Development Bank,Transport
Nigeria,37424361.54,Completion,African Development Bank,Transport
Tunisia,141578618.24,Completion,,Transport
Multinational,651856.49,Cancelled,,Transport
Uganda,53443671.72,Completion,,Transport
Kenya,119160940.07,Completion,,Transport
Gabon,198253165.99,Completion,,Transport
"Tanzania, United Republic of",55394573.76,Completion,,Transport
,,,,
Morocco,36737392.95,Completion,,Transport
Mauritius,600000.0,Completion,Middle Income Countries Fund,Transport
Nigeria,34106254.55,Completion,,Transport
Multinational,38000000.0,Completion,African Development Fund,Transport
Multinational,27800000.0,Completion,African Development Fund,Transport
Multinational,14000000.0,Completion,African Development Fund,Transport
Multinational,45710001.57,Completion,African Development Fund,Transport
Uganda,32913805.28,Completion,,Transport
Ethiopia,55754267.53,Completion,,Transport
Multinational,49523308.97,Completion,,Transport
Multinational,46588019.94,Completion,African Development Fund,Transport
Lesotho,3599314.33,Completion,,Transport
Multinational,55997776.14,Completion,,Transport
Multinational,1992764.48,Completion,,Transport
Multinational,350000.0,Completion,African Development Fund,Transport
Multinational,2000000.0,Completion,African Development Fund,Transport
Multinational,999774.42,Completion,African Development Fund,Transport
Multinational,6200000.0,Completion,African Development Fund,Transport
Cameroon,40466923.86,Completion,,Transport
Mozambique,51975379.27,Completion,,Transport
,,,,
Multinational,27490453.71,Completion,,Transport
Multinational,30200000.0,Completion,,Transport
Morocco,77810732.13,Completion,African Development Bank,Transport
Sierra Leone,1538123.87,Completion,,Transport
"Congo, the Democratic Republic of the",44718188.9,Completion,,Transport
Niger,17220836.82,Completion,,Transport
Guinea,8250000.0,Completion,,Transport
Senegal,27195051.92,Completion,,Transport
Uganda,27830028.3,Completion,African Development Fund,Transport
Multinational,4600000.0,Completion,,Transport
Rwanda,14692706.86,Completion,,Transport
Multinational,35419592.62,Completion,,Transport
Morocco,194911193.59,Completion,African Development Bank,Transport
Tunisia,134963805.16,Completion,,Transport
Multinational,1626784.84,Completion,African Development Fund,Transport
Burkina Faso,15054939.89,Completion,,Transport
Benin,4746968.53,Completion,,Transport
Madagascar,31422857.05,Completion,,Transport
"Tanzania, United Republic of",15290813.06,Completion,,Transport
Namibia,9818440.81,Completion,,Transport
,,,,
Eswatini,14390281.59,Completion,,Transport
Tunisia,48170969.32,Completion,,Transport
Multinational,81837823.15,Completion,,Transport
Lesotho,8742758.74,Completion,,Transport
Rwanda,14613249.97,Completion,,Transport
Ghana,15043561.88,Completion,,Transport
Benin,13440384.94,Completion,,Transport
Sierra Leone,1221949.44,Completion,,Transport
Multinational,559920.15,Completion,,Transport
Ethiopia,23326892.74,Completion,,Transport
Mauritania,12283881.94,Completion,,Transport
Uganda,140598.68,Completion,African Development Fund,Transport
Ghana,9958140.5,Completion,,Transport
Cameroon,23066906.94,Completion,African Development Bank,Transport
Algeria,50095171.05,Cancelled,African Development Bank,Transport
Namibia,8283992.24,Completion,,Transport
Multinational,2161350.84,Completion,African Development Fund,Transport
Multinational,715520.84,Completion,,Transport
Ghana,12384095.82,Completion,,Transport
Lesotho,4290000.0,Completion,,Transport
,,,,
Madagascar,7937662.39,Completion,,Transport
Tunisia,83048983.16,Completion,,Transport
Burkina Faso,21972510.7,Completion,,Transport
Ethiopia,33002699.16,Completion,,Transport
Eswatini,5322485.24,Completion,,Transport
Namibia,9606511.22,Completion,,Transport
"Tanzania, United Republic of",15568460.94,Completion,,Transport
Kenya,16826911.94,Completion,,Transport
Senegal,14324976.73,Completion,,Transport
Mauritius,6579285.68,Completion,,Transport
Niger,811309.32,Completion,,Transport
Morocco,47710700.02,Completion,,Transport
Cameroon,14999834.78,Completion,,Transport
Multinational,806833.6,Completion,African Development Fund,Transport
Cameroon,8454480.14,Completion,,Transport
Ghana,17387882.16,Completion,,Transport
Mozambique,20562701.73,Completion,,Transport
Algeria,4508521.31,Completion,,Transport
Madagascar,1743099.14,Completion,,Transport
Uganda,8599242.94,Completion,African Development Fund,Transport
,,,,
Multinational,1038320.68,Cancelled,African Development Fund,Transport
Mozambique,1362434.13,Completion,,Transport
Multinational,29345897.83,Completion,,Transport
Chad,4021.73,Cancelled,,Transport
Malawi,248070.66,Cancelled,,Transport
Mozambique,15836887.24,Completion,,Transport
Côte d'Ivoire,722812.32,Completion,,Transport
Ghana,428000.24,Completion,,Transport
Benin,324385.02,Completion,,Transport
Lesotho,302654.61,Completion,,Transport
Madagascar,772888.06,Completion,,Transport
"Tanzania, United Republic of",13815078.81,Completion,,Transport
Tunisia,82123450.76,Completion,,Transport
Tunisia,12150936.53,Completion,,Transport
Togo,6797074.53,Cancelled,,Transport
Ethiopia,2349690.59,Completion,,Transport
Morocco,45689760.13,Completion,,Transport
"Tanzania, United Republic of",4373824.58,Completion,,Transport
Madagascar,740396.52,Completion,,Transport
Uganda,6483410.26,Completion,,Transport
,,,,
"Tanzania, United Republic of",302975.2,Completion,,Transport
Ethiopia,17851507.72,Completion,,Transport
Ghana,8076251.3,Completion,,Transport
Tunisia,57426685.15,Completion,,Transport
Mali,14090803.76,Completion,,Transport
"Tanzania, United Republic of",14910298.2,Completion,,Transport
Malawi,4657919.74,Completion,,Transport
Cape Verde,3241310.57,Completion,,Transport
Mozambique,22283827.65,Completion,,Transport
Guinea-Bissau,4043816.16,Cancelled,,Transport
Chad,10639671.76,Completion,,Transport
Burkina Faso,9991445.18,Completion,,Transport
Ethiopia,17202487.42,Completion,,Transport
Mauritania,8027499.85,Completion,,Transport
Eritrea,5430260.13,Completion,,Transport
Benin,13012583.93,Completion,,Transport
Gabon,20069925.55,Cancelled,,Transport
Algeria,24527814.95,Completion,African Development Bank,Transport
Tunisia,25056273.07,Completion,,Transport
Morocco,29374239.86,Completion,,Transport
,,,,
Eswatini,23806668.65,Completion,,Transport
Gambia,15526705.44,Completion,,Transport
Sierra Leone,8030164.65,Completion,,Transport
Algeria,19582099.1,Completion,,Transport
Burundi,8921546.4,Completion,,Transport
Uganda,1706818.67,Completion,,Transport
Burundi,486414.21,Completion,,Transport
Côte d'Ivoire,44981542.51,Cancelled,,Transport
Ghana,427143.98,Cancelled,African Development Fund,Transport
Sao Tome and Principe,4290973.66,Completion,,Transport
"Tanzania, United Republic of",1050748.63,Completion,,Transport
Zimbabwe,21685565.82,Completion,,Transport
Gabon,72287534.7,Completion,,Transport
Burundi,1126840.11,Completion,,Transport
Equatorial Guinea,5729593.2,Completion,,Transport
Zimbabwe,205091.75,Cancelled,,Transport
Mali,11847163.6,Completion,,Transport
Egypt,1463096.01,Completion,,Transport
Rwanda,4007429.69,Cancelled,,Transport
"Tanzania, United Republic of",14952048.78,Completion,,Transport
,,,,
Multinational,1700323.46,Completion,African Development Fund,Transport
Morocco,43288673.65,Completion,,Transport
Burundi,7047028.27,Completion,,Transport
Lesotho,2854613.21,Completion,,Transport
Mozambique,20612408.23,Completion,,Transport
Namibia,974277.64,Completion,,Transport
"Tanzania, United Republic of",2198357.43,Completion,,Transport
Eswatini,49153400.48,Completion,,Transport
Ghana,564120.7,Cancelled,,Transport
Sudan,2782023.36,Completion,,Transport
Uganda,10353744.42,Completion,,Transport
Ethiopia,20763520.24,Completion,,Transport
Namibia,3467752.32,Completion,,Transport
Benin,11710341.62,Completion,,Transport
Algeria,15287566.51,Completion,,Transport
Ethiopia,1963831.26,Completion,African Development Fund,Transport
Botswana,28569157.07,Completion,,Transport
Djibouti,1380674.25,Completion,,Transport
Malawi,12058498.24,Completion,,Transport
Gambia,2755830.9,Completion,,Transport
,,,,
Uganda,11237468.44,Completion,,Transport
Burundi,4424501.88,Completion,,Transport
Burkina Faso,25133136.22,Completion,,Transport
Benin,872110.35,Completion,,Transport
Cameroon,53882985.83,Completion,,Transport
Cape Verde,11521718.22,Completion,,Transport
Algeria,48295592.36,Completion,,Transport
Multinational,261885.72,Completion,African Development Fund,Transport
Kenya,12628773.2,Completion,,Transport
Tunisia,19438725.68,Completion,,Transport
Zambia,1346558.84,Completion,African Development Fund,Transport
Cape Verde,3635117.73,Completion,,Transport
Uganda,2152609.62,Completion,,Transport
Malawi,14751376.32,Completion,,Transport
Senegal,4745869.73,Completion,,Transport
Ethiopia,24545467.49,Completion,,Transport
Kenya,887293.15,Completion,,Transport
Burundi,380609.82,Cancelled,African Development Fund,Transport
Botswana,727559.17,Completion,,Transport
Uganda,273914.73,Completion,,Transport
,,,,
Kenya,35216880.72,Completion,,Transport
Morocco,21604844.78,Completion,,Transport
"Tanzania, United Republic of",21506811.8,Completion,,Transport
Madagascar,12430767.68,Completion,,Transport
Malawi,13964544.17,Completion,,Transport
Zambia,11744994.87,Completion,,Transport
Rwanda,958908.43,Cancelled,,Transport
Sudan,12638950.41,Completion,,Transport
Multinational,37576789.07,Completion,African Development Bank,Transport
Niger,9141442.69,Completion,,Transport
Multinational,1736526.51,Completion,,Transport
Ethiopia,38605430.38,Completion,,Transport
Gambia,14477787.05,Completion,,Transport
Guinea,23284199.36,Completion,,Transport
Sudan,656358.8,Completion,,Transport
Algeria,39790157.18,Completion,,Transport
Gabon,25240053.13,Completion,,Transport
Burkina Faso,745919.03,Completion,,Transport
Djibouti,4100665.28,Completion,,Transport
Gambia,2104842.25,Completion,African Development Fund,Transport
,,,,
Lesotho,2289996.97,Completion,,Transport
Zambia,11287687.23,Completion,,Transport
Ethiopia,8578926.49,Cancelled,,Transport
Ex Zaire,23828044.29,Cancelled,African Development Bank,Transport
Eswatini,1519287.6,Completion,,Transport
Eswatini,4895956.38,Completion,,Transport
Cameroon,17551674.49,Completion,,Transport
Ex Zaire,6376361.14,Cancelled,African Development Bank,Transport
Kenya,10852889.01,Completion,,Transport
Niger,3215162.85,Completion,,Transport
Guinea-Bissau,2367987.17,Completion,African Development Fund,Transport
Senegal,342083.31,Completion,African Development Fund,Transport
Multinational,188781835.19,Completion,,Transport
Botswana,7770000.0,Completion,,Transport
Sudan,8745487.87,Completion,,Transport
Mozambique,17575621.02,Completion,,Transport
Zimbabwe,11482728.04,Completion,,Transport
Côte d'Ivoire,119219498.5,Completion,,Transport
Burkina Faso,14182358.26,Completion,,Transport
Rwanda,23499762.97,Completion,,Transport
,,,,
Ex Zaire,5717429.36,Cancelled,,Transport
Lesotho,17139633.02,Completion,,Transport
Uganda,7587161.15,Completion,,Transport
Eswatini,4789470.0,Completion,,Transport
Morocco,93235895.94,Completion,,Transport
Benin,7110068.69,Completion,African Development Fund,Transport
Chad,12194099.5,Completion,,Transport
Cape Verde,532611.57,Completion,African Development Fund,Transport
Eswatini,1200371.29,Completion,African Development Fund,Transport
Benin,710307.2,Completion,African Development Fund,Transport
Guinea,22480895.42,Completion,,Transport
Sao Tome and Principe,4714035.75,Completion,,Transport
Uganda,1278447.97,Completion,,Transport
Mauritius,4647796.28,Completion,,Transport
Botswana,17396757.18,Completion,,Transport
Ex Zaire,427865.75,Completion,African Development Fund,Transport
"Tanzania, United Republic of",17673823.75,Completion,,Transport
Burundi,159306.76,Cancelled,,Transport
Uganda,13320800.56,Completion,,Transport
Equatorial Guinea,3417050.95,Completion,,Transport
,,,,
Malawi,1311338.76,Completion,African Development Fund,Transport
Cameroon,47066616.43,Completion,,Transport
Eswatini,9279870.87,Completion,,Transport
Lesotho,5599865.7,Completion,,Transport
Niger,4605260.0,Completion,,Transport
Sao Tome and Principe,12505391.88,Completion,,Transport
Morocco,48824353.41,Completion,,Transport
Zambia,19993116.06,Completion,,Transport
